id,org,village,block,district_raw,district,state,matched_name,status,lat,lon
p0827,TRIF,karamtoli,Kersai,Simdega,Simdega,Jharkhand,Karamtoli,exact-block,22.51325143337202,84.21056146373974
p0828,TRIF,Mahuatoli,Kersai,Simdega,Simdega,Jharkhand,,block-centroid,22.606547921225342,84.26570805019443
p0829,TRIF,Bangaon,Kurdeg,Simdega,Simdega,Jharkhand,Bangaon,exact,22.520458167864653,84.1499036778697
p0830,TRIF,chadrimunda,Kurdeg,Simdega,Simdega,Jharkhand,Charrimunda,fuzzy,22.49728652774981,84.11361703141695
p0831,TRIF,Ghutua,Satbarwa,Palamu,Palamu,Jharkhand,Ghutua,exact,23.954465589331885,84.33132550073343
p0832,TRIF,Rabda,Satbarwa,Palamu,Palamu,Jharkhand,Rabda,exact-block,23.906015655492634,84.23401440424286
p0833,TRIF,Cherbar,Chainpur,Palamu,Palamu,Jharkhand,,block-centroid,23.749438853550252,84.09561806035893
p0834,TRIF,Sokra,Chainpur,Palamu,Palamu,Jharkhand,Sokra,exact,23.957019639882613,84.07382809108638
p0835,TRIF,Nawagarh,Angara,Ranchi,Ranchi,Jharkhand,Nawagarh,exact,23.43258969346461,85.60855263157565
p0836,TRIF,Dahua,Angara,Ranchi,Ranchi,Jharkhand,Dahua,exact,23.381408803753494,85.62146344790533
p0837,TRIF,Nehalu,Bero,Ranchi,Ranchi,Jharkhand,,block-centroid,23.301327280431305,84.95345211307372
p0838,TRIF,Kesa,Bero,Ranchi,Ranchi,Jharkhand,Kesa,exact,23.319921119247212,85.04726358009853
p0839,TRIF,Usia,Noamundi,West Singhbhum,West Singhbhum,Jharkhand,,block-centroid,22.217566385518687,85.50991172637693
p0840,TRIF,Latar Kundrijod,Noamundi,West Singhbhum,West Singhbhum,Jharkhand,Latar Kundrijhor,fuzzy,22.274674659568582,85.50449408726607
p0841,TRIF,Jashpur,,Jashpur,Jashpur,Chhattisgarh,,district-centroid,22.804010035088794,84.06081408248885
p0842,Paani,Akolner,,Ahilyanagar,Ahmednagar,Maharashtra,Akolner,exact,18.990778760723195,74.65588985963981
p0843,Paani,Arangaon,,Ahilyanagar,Ahmednagar,Maharashtra,Arangaon,exact,18.6764609414712,75.19000049163935
p0844,Paani,Bhoyare Pathar,,Ahilyanagar,Ahmednagar,Maharashtra,Bhoyare Pathar,exact,19.039416688008338,74.58671495125664
p0845,Paani,Chichondi Patil,,Ahilyanagar,Ahmednagar,Maharashtra,Chichondi Patil,exact,19.003680116899435,74.91478456501939
p0846,Paani,Dehere,,Ahilyanagar,Ahmednagar,Maharashtra,Dehere,exact,19.241556843769487,74.67456124854776
p0847,Paani,Dongargan,,Ahilyanagar,Ahmednagar,Maharashtra,Dongargan,exact,19.243685848688962,74.77207502269546
p0848,Paani,Hivare Zare,,Ahilyanagar,Ahmednagar,Maharashtra,Hivare Zare,exact,18.919828375483775,74.70536396463754
p0849,Paani,Hivrebajar,,Ahilyanagar,Ahmednagar,Maharashtra,Hivrebajar,exact,19.07414926447981,74.5983500456043
p0850,Paani,Jeur,,Ahilyanagar,Ahmednagar,Maharashtra,Jeur,exact,19.40375841878795,75.06573128375905
p0851,Paani,Karjunekhare,,Ahilyanagar,Ahmednagar,Maharashtra,Karjunekhare,exact,19.18203075298669,74.61024979732473
p0852,Paani,Nimblak,,Ahilyanagar,Ahmednagar,Maharashtra,Nimblak,exact,19.14697222090148,74.67985991208562
p0853,Paani,Nimbodi,,Ahilyanagar,Ahmednagar,Maharashtra, ,exact,19.043460356383516,74.77101201236279
p0854,Paani,Pargaon Maula,,Ahilyanagar,Ahmednagar,Maharashtra,Pargaon Maula,exact,18.98961287198128,74.7773685930048
p0855,Paani,Pimpalgaon Landga,,Ahilyanagar,Ahmednagar,Maharashtra,Pimpalgaon Landga,exact,19.08502845280099,74.88297434623577
p0856,Paani,Pimpalgaon Malvi,,Ahilyanagar,Ahmednagar,Maharashtra,Pimpalgaon Malvi,exact,19.20648062905304,74.73282225232613
p0857,Paani,Pimpalgaon Wagha,,Ahilyanagar,Ahmednagar,Maharashtra,Pimpalgaon Wagha,exact,19.061008385508757,74.61938944581438
p0858,Paani,Rui Chhattishi,,Ahilyanagar,Ahmednagar,Maharashtra,Rui Chhattishi,exact,18.89983195436373,74.83462472718607
p0859,Paani,Sandave,,Ahilyanagar,Ahmednagar,Maharashtra,Sandave,exact,19.0031427571756,74.87103268329894
p0860,Paani,Tandali Wadgaon,,Ahilyanagar,Ahmednagar,Maharashtra,Tandali Wadgaon,exact,18.9275659570617,74.78616571151356
p0861,Paani,Vilad,,Ahilyanagar,Ahmednagar,Maharashtra,Vilad,exact,19.207876656929805,74.6715286344089
p0862,Paani,Walki,,Ahilyanagar,Ahmednagar,Maharashtra,Walki,exact,18.957878264890713,74.75148384270244
p0863,Paani,Bhalawani,,Ahilyanagar,Ahmednagar,Maharashtra,Bhalawani,exact,19.121677457349257,74.5570920925176
p0864,Paani,Chincholi,,Ahilyanagar,Ahmednagar,Maharashtra,Chincholi,exact,19.512487448442762,74.55701818626382
p0865,Paani,Devi Bhoyare,,Ahilyanagar,Ahmednagar,Maharashtra,Devi Bhoyare,exact,18.99844344854442,74.30696770540318
